age,gender,positive,negative,neutral,speech
16,1,265630,137348,391052,89173
16,2,162755,129985,532093,56005
17,1,272967,138353,378102,98666
17,2,175376,138872,495780,66262
18,1,278213,133324,383801,101186
18,2,181456,140761,485964,70251
19,1,283494,123207,397761,102808
19,2,180638,137142,494811,73081
20,1,287515,110922,417101,102661
20,2,180244,130807,505819,75518
21,1,290698,98964,434275,102130
21,2,180347,124178,520410,76377
38,1,221493,49128,616331,75220
38,2,123617,89534,699841,43098
39,1,216856,49758,619714,75988
39,2,120827,88532,701239,43348
40,1,212055,50422,624626,76718
40,2,119483,87293,705498,43654
41,1,210894,51602,620960,78205
41,2,114957,88885,709974,43128
42,1,193094,49744,595095,73930
42,2,110681,89435,715902,42010
43,1,175571,49958,557299,70098
43,2,104094,98398,711989,40704
58,1,76182,29725,334770,47387
58,2,33298,38539,293586,17648
59,1,71747,29358,300688,45323
59,2,32314,35652,280497,17411
60,1,66592,25721,272697,42225
60,2,29348,36187,266910,15249
61,1,56460,23419,243640,36624
61,2,26358,33360,233851,13977
62,1,50142,22596,218170,33182
62,2,22612,30959,213866,12004
63,1,46294,21290,189987,30357
63,2,20684,30267,198686,11473
