0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
абонировать	нанимать																																											
абсолютный	полный	совершенный	безотносительный	самостоятельный																																								
автокефальный	автократический																																											
автор	сочинитель	составитель	писатель	компилятор	композитор	виновник	творец																																					
авторитет	компетентность	компетенция																																										
агент	представитель	уполномоченный	поверенный																																									
адвокат	стряпчий	защитник																																										
адский	невыносимый	каторжный	дьявольский	сатанинский	анафемский	инфернальный																																						
азарт	воодушевление	пыл	энтузиазм	остервенение	ярость																																							
аккуратный	исправный	исполнительный	щепетильный	точный	корректный	пунктуальный	скрупулезный	педантичный	неукоснительный																																			
актер	артист																																											
алкоголик	пьяница	пропойца																																										
аллюр	ход	походка	бег	ступа																																								
амулет	ладанка	талисман																																										
анализ	разложение	разбор	расследование																																									
анализировать	разлагать	разбирать	исследовать																																									
аналогия	аналогичность	соответствие	соотношение																																									
ангел	серафим	херувим	ангел-хранитель	архангел																																								
анекдот	рассказ	басня	миф	вымысел																																								
аномалия	неправильность	отступление	уклонение	уродливость	странность																																							
антагонизм	вражда	соперничество	неприязнь	противодействие	нелюбовь	недоброжелательство																																						
антипод	антитеза																																											
антракт	перерыв	передышка	остановка																																									
аплодировать	рукоплескать	хлопать																																										
апогей	верх	вершина	зенит	крайность	предел	максимум																																						
арапник	бич	кнут	плеть	нагайка																																								
аргумент	довод	доказательство	соображение	основание	резон																																							
арена	поприще	ристалище	поле	циклодром	ипподром	аэродром	трек																																					
ареопаг	судилище	коллегия	синедрион	синклит	присутствие																																							
арестант	колодник	узник	заключенный																																									
аристократ	вельможа	магнат	гранд	патриций	дворянин																																							
аристократический	рыцарский	достойный	доблестный	джентльменский	благородный																																							
армеец	армейщина																																											
армия	войско	рать	дружина	полчища																																								
артачиться	упрямиться	упорствовать	хорохориться	настаивать																																								
архиепископ	архиерей																																											
ассортимент	коллекция	набор	комплект	прибор	гарнитур	гарнитура																																						
астроном	звездочет	астролог																																										
атаман	предводитель	начальник	глава	главарь	вождь	старшина	староста																																					
атмосфера	воздух																																											
атрибут	принадлежность	свойство																																										
