age	gender	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6
16	1	['завтра', 'че', 'спать', 'сидеть', 'ахах', 'гулять', 'тя', 'супер', 'хд', 'ои', 'ходить', 'пойти', 'lt', 'ти', 'gt']	['любить', 'хороший', 'день', 'рождение', 'самый', 'ждать', 'новый', 'любимый', 'такои', 'скучать', 'желать', 'самыя', 'дорогой', 'мама', 'школа']	['любить', 'друг', 'знать', 'тобой', 'человек', 'понимать', 'забывать', 'любовь', 'каждый', 'думать', 'сеичас', 'писать', 'смотреть', 'сердце', 'нужный']	['id', 'com', 'http', 'vk', 'песня', '_', 'ава', 'группа', 'https', 'фото', 'эстафета', 'ru', 'amp', 'приветик', 'принимать']		
16	2	['любить', 'друг', 'знать', 'любовь', 'думать', 'человек', 'че', 'понимать', 'девушка', 'смотреть', 'какой', 'забывать', 'играть', 'такои', 'нужный']	['хороший', 'день', 'новый', 'рождение', 'ждать', 'самый', 'завтра', 'школа', 'желать', 'первый', 'брат', 'удача', 'мир', 'проходить', 'фильм']	['http', 'com', 'id', 'vk', 'ru', '_', 'https', 'группа', 'лс', 'видео', 'игра', 'лаик', 'youtube', 'купить', 'продавать']			
17	1	['любить', 'хороший', 'знать', 'друг', 'любовь', 'человек', 'самый', 'ждать', 'тобой', 'думать', 'забывать', 'любимый', 'понимать', 'завтра', 'каждый']	['день', 'рождение', 'новый', 'пусть', 'желать', 'счастие', 'поздравлять', 'праздник', 'любовь', 'мечта', 'удача', 'новыя', 'сдавать', 'здоровье', 'ои']	['смотреть', 'че', 'спать', 'сидеть', 'ахах', 'тя', 'ночь', 'супер', 'играть', 'класс', 'музыка', 'фильм', 'посмотреть', 'вчера', 'дом']	['id', 'http', 'com', 'песня', '_', 'vk', 'группа', 'фотка', 'фото', 'ru', 'https', 'amp', 'лс', 'писать', 'друзея']		
17	2	['день', 'новый', 'че', 'рождение', 'хороший', 'песня', 'новыя', 'желать', 'первый', 'удача', 'купить', 'фильм', 'поздравлять', 'первыя', 'второй']	['http', 'id', 'com', 'ru', '_', 'vk', 'https', 'игра', 'группа', 'лс', 'amp', 'vkontakte', 'видео', 'играть', 'ава']	['любить', 'друг', 'знать', 'любовь', 'думать', 'человек', 'каждый', 'завтра', 'понимать', 'смотреть', 'забывать', 'какой', 'девушка', 'такои', 'сеичас']			
18	1	['любить', 'день', 'хороший', 'любовь', 'рождение', 'знать', 'друг', 'самый', 'человек', 'любимый', 'каждый', 'тобой', 'думать', 'новый', 'понимать']	['id', 'настроение', 'лето', 'ава', 'приветик', 'приходить', 'неделя', 'супер', 'сон', 'сдавать', 'учеба', 'дом', 'море', 'ои', 'экзамен']	['com', 'http', 'завтра', '_', 'писать', 'vk', 'смотреть', 'че', 'спать', 'написать', 'ребята', 'сидеть', 'instagram', 'приезжать', 'фотка']	['песня', 'ахах', 'давай', 'фильм', 'телефон', 'принимать', 'фотография', 'купить', 'цена', 'брат', 'передавать', 'о', 'эстафета', 'внимание', 'пить']		
18	2	['че', 'завтра', 'играть', 'игра', 'бля', 'сука', 'стена', 'ава', 'фотка', 'неделя', 'тя', 'тема', 'приезжать', 'получать', 'блять']	['http', 'com', 'id', 'ru', '_', 'vk', 'группа', 'https', 'видео', 'amp', 'www', 'vkontakte', 'gt', 'club', 'добавлять']	['любить', 'друг', 'хороший', 'любовь', 'знать', 'писать', 'ждать', 'человек', 'думать', 'смотреть', 'каждый', 'понимать', 'оставаться', 'такои', 'песня']	['день', 'новый', 'рождение', 'лс', 'желать', 'поздравлять', 'продавать', 'удача', 'купить', 'праздник', 'цена', 'телефон', 'фото', 'счастие', 'новыя']		
19	1	['id', 'com', 'http', '_', 'vk', 'instagram', 'фото', 'ru', 'https', 'amp', 'группа', 'выходной', 'ава', 'крутой', 'концерт']	['любить', 'день', 'хороший', 'любовь', 'рождение', 'человек', 'самый', 'любимый', 'знать', 'каждый', 'новый', 'пусть', 'дорогой', 'тобой', 'желать']	['ждать', 'друг', 'сеичас', 'думать', 'завтра', 'какой', 'писать', 'скучать', 'девочка', 'нужный', 'проходить', 'спать', 'лето', 'ребята', 'помогать']	['цена', 'фильм', 'размер', 'видео', 'ои', 'принимать', 'получать', 'фотография', 'работать', 'волос', 'цвет', 'продавать', 'lt', 'любой', 'заниматься']		
19	2	['хороший', 'ждать', 'думать', 'новый', 'че', 'смотреть', 'завтра', 'писать', 'песня', 'такои', 'играть', 'написать', 'спать', 'проходить', 'какои']	['любить', 'любовь', 'друг', 'знать', 'человек', 'каждый', 'понимать', 'девушка', 'забывать', 'сердце', 'нужный', 'душа', 'сеичас', 'оставаться', 'самый']	['http', 'день', 'com', 'id', 'ru', 'рождение', '_', 'vk', 'https', 'игра', 'группа', 'лс', 'поздравлять', 'amp', 'видео']			
20	1	['писать', 'фото', 'цена', 'группа', 'лс', 'размер', 'телефон', 'вопрос', 'цвет', 'купить', 'получать', 'работать', 'репост', 'сдавать', 'внимание']	['любить', 'хороший', 'любовь', 'друг', 'ждать', 'любимый', 'самый', 'каждый', 'человек', 'знать', 'новый', 'пусть', 'дорогой', 'счастливый', 'оставаться']	['день', 'com', 'http', 'рождение', 'id', '_', 'vk', 'instagram', 'https', 'amp', 'ru', 'здоровье', 'удача', 'успех', 'club']	['завтра', 'помогать', 'рука', 'написать', 'сидеть', 'пожалуист', 'искать', 'просить', 'решать', 'голова', 'ходить', 'ехать', 'боль', 'улица', 'отвечать']		
20	2	['любить', 'хороший', 'друг', 'ждать', 'знать', 'каждый', 'человек', 'смотреть', 'девушка', 'оставаться', 'какой', 'нужный', 'понимать', 'сеичас', 'самый']	['http', 'день', 'com', 'id', 'ru', 'рождение', '_', 'vk', 'https', 'желать', 'amp', 'поздравлять', 'праздник', 'www', 'счастие']	['любовь', 'думать', 'завтра', 'забывать', 'такои', 'пусть', 'спать', 'ночь', 'сидеть', 'бля', 'какои', 'посмотреть', 'ехать', 'прощать', 'сука']	['новый', 'писать', 'группа', 'песня', 'игра', 'новыя', 'играть', 'ребята', 'цена', 'видео', 'первый', 'лс', 'музыка', 'продавать', 'фото']		
